time_ms,Cts_diff,off_cts_norm,on_cts_norm,off_lsr_pwr_V,on_lsr_pwr_V
3734325357014.0,0.0,0.0,0.0,55.0,52.857142857142854
3734325357114.0,0.0,0.0,0.0,51.0,51.857142857142854
3734325357214.0,0.0,0.0,0.0,56.0,52.57142857142857
3734325357314.0,0.0,0.0,0.0,55.5,52.857142857142854
3734325357414.0,0.0,0.0,0.0,56.0,56.285714285714285
3734325357514.0,0.0,0.0,0.0,52.0,51.285714285714285
3734325357614.0,0.0,0.0,0.0,47.5,56.142857142857146
3734325357714.0,0.0,0.0,0.0,54.5,56.0
3734325357814.0,0.0,0.0,0.0,52.0,53.42857142857143
3734325357914.0,0.0,0.0,0.0,51.0,46.42857142857143
3734325358014.0,0.0,0.0,0.0,48.0,55.0
3734325358114.0,0.0,0.0,0.0,56.5,55.285714285714285
3734325358214.0,0.0,0.0,0.0,53.0,54.42857142857143
3734325358314.0,0.0,0.0,0.0,51.0,56.857142857142854
3734325358414.0,0.0,0.0,0.0,54.5,55.42857142857143
3734325358514.0,0.0,0.0,0.0,51.0,51.0
3734325358614.0,0.0,0.0,0.0,53.0,50.285714285714285
3734325358714.0,0.0,0.0,0.0,55.0,54.142857142857146
3734325358814.0,0.0,0.0,0.0,53.0,52.0
3734325358914.0,0.0,0.0,0.0,58.0,50.42857142857143
3734325359014.0,0.0,0.0,0.0,51.0,49.857142857142854
3734325359114.0,0.0,0.0,0.0,54.0,52.285714285714285
3734325359214.0,0.0,0.0,0.0,50.0,51.857142857142854
3734325359314.0,0.0,0.0,0.0,53.5,56.0
3734325359414.0,0.0,0.0,0.0,48.5,52.285714285714285
3734325359514.0,0.0,0.0,0.0,57.0,54.42857142857143
3734325359614.0,0.0,0.0,0.0,47.5,52.57142857142857
3734325359714.0,0.0,0.0,0.0,53.5,51.142857142857146
3734325359814.0,0.0,0.0,0.0,51.0,51.857142857142854
3734325359914.0,0.0,0.0,0.0,51.5,51.57142857142857
3734325360014.0,0.0,0.0,0.0,54.0,58.0
3734325360114.0,0.0,0.0,0.0,54.0,53.142857142857146
3734325360214.0,0.0,0.0,0.0,47.5,49.142857142857146
3734325360314.0,0.0,0.0,0.0,49.5,46.142857142857146
3734325360414.0,0.0,0.0,0.0,56.5,49.57142857142857
3734325360514.0,0.0,0.0,0.0,51.0,53.57142857142857
3734325360614.0,0.0,0.0,0.0,49.5,52.142857142857146
3734325360714.0,0.0,0.0,0.0,54.0,52.57142857142857
3734325360814.0,0.0,0.0,0.0,47.5,55.714285714285715
3734325360914.0,0.0,0.0,0.0,50.0,48.0
3734325361014.0,0.0,0.0,0.0,53.5,52.0
3734325361114.0,0.0,0.0,0.0,54.0,53.857142857142854
3734325361214.0,0.0,0.0,0.0,47.5,52.714285714285715
3734325361314.0,0.0,0.0,0.0,52.5,54.57142857142857
3734325361414.0,0.0,0.0,0.0,53.0,46.714285714285715
3734325361514.0,0.0,0.0,0.0,55.0,50.42857142857143
3734325361614.0,0.0,0.0,0.0,53.0,47.714285714285715
3734325361714.0,0.0,0.0,0.0,51.0,49.0
3734325361814.0,0.0,0.0,0.0,57.5,51.285714285714285
3734325361914.0,0.0,0.0,0.0,55.0,49.857142857142854
3734325362014.0,0.0,0.0,0.0,57.5,52.57142857142857
3734325362114.0,0.0,0.0,0.0,54.0,50.857142857142854
3734325362214.0,0.0,0.0,0.0,53.0,52.42857142857143
3734325362314.0,0.0,0.0,0.0,58.0,50.57142857142857
3734325362414.0,0.0,0.0,0.0,52.0,51.857142857142854
3734325362514.0,0.0,0.0,0.0,47.0,53.285714285714285
3734325362614.0,0.0,0.0,0.0,58.0,53.285714285714285
3734325362714.0,0.0,0.0,0.0,48.5,50.142857142857146
3734325362814.0,0.0,0.0,0.0,53.5,52.57142857142857
3734325362914.0,0.0,0.0,0.0,48.5,46.57142857142857
3734325363014.0,0.0,0.0,0.0,50.5,50.857142857142854
3734325363114.0,0.0,0.0,0.0,49.0,53.0
3734325363214.0,0.0,0.0,0.0,54.5,52.42857142857143
3734325363314.0,0.0,0.0,0.0,52.5,51.857142857142854
3734325363414.0,0.0,0.0,0.0,55.5,55.57142857142857
3734325363514.0,0.0,0.0,0.0,51.5,51.42857142857143
3734325363614.0,0.0,0.0,0.0,53.0,51.857142857142854
3734325363714.0,0.0,0.0,0.0,55.5,53.142857142857146
3734325363814.0,0.0,0.0,0.0,52.0,54.42857142857143
3734325363914.0,0.0,0.0,0.0,54.0,46.285714285714285
3734325364014.0,0.0,0.0,0.0,51.0,51.857142857142854
3734325364114.0,0.0,0.0,0.0,51.5,48.0
3734325364214.0,0.0,0.0,0.0,45.0,54.285714285714285
3734325364314.0,0.0,0.0,0.0,54.5,51.857142857142854
3734325364414.0,0.0,0.0,0.0,49.5,57.142857142857146
3734325364514.0,0.0,0.0,0.0,52.0,50.714285714285715
3734325364614.0,0.0,0.0,0.0,47.5,51.42857142857143
3734325364714.0,0.0,0.0,0.0,55.0,51.0
3734325364814.0,0.0,0.0,0.0,56.5,50.142857142857146
3734325364914.0,0.0,0.0,0.0,54.5,50.0
3734325365014.0,0.0,0.0,0.0,50.0,52.42857142857143
3734325365114.0,0.0,0.0,0.0,55.0,54.714285714285715
3734325365214.0,0.0,0.0,0.0,51.0,52.0
3734325365314.0,0.0,0.0,0.0,55.0,50.714285714285715
3734325365414.0,0.0,0.0,0.0,56.5,55.142857142857146
3734325365514.0,0.0,0.0,0.0,57.5,51.0
3734325365614.0,0.0,0.0,0.0,50.0,55.0
3734325365714.0,0.0,0.0,0.0,57.0,53.142857142857146
3734325365814.0,0.0,0.0,0.0,50.5,53.142857142857146
3734325365914.0,0.0,0.0,0.0,41.5,51.142857142857146
3734325366014.0,0.0,0.0,0.0,52.0,48.857142857142854
3734325366114.0,0.0,0.0,0.0,47.5,47.42857142857143
3734325366214.0,0.0,0.0,0.0,49.0,49.0
3734325366314.0,0.0,0.0,0.0,52.0,50.142857142857146
3734325366414.0,0.0,0.0,0.0,51.0,52.714285714285715
3734325366514.0,0.0,0.0,0.0,51.5,49.42857142857143
3734325366614.0,0.0,0.0,0.0,53.0,56.57142857142857
3734325366714.0,0.0,0.0,0.0,51.0,50.42857142857143
3734325366814.0,0.0,0.0,0.0,48.0,55.285714285714285
3734325366914.0,0.0,0.0,0.0,53.0,48.714285714285715
3734325367014.0,0.0,0.0,0.0,49.0,51.714285714285715
3734325367114.0,0.0,0.0,0.0,49.0,52.42857142857143
3734325367214.0,0.0,0.0,0.0,48.5,51.0
3734325367314.0,0.0,0.0,0.0,52.0,50.42857142857143
3734325367414.0,0.0,0.0,0.0,49.0,52.857142857142854
3734325367514.0,0.0,0.0,0.0,49.0,47.714285714285715
3734325367614.0,0.0,0.0,0.0,55.5,50.714285714285715
3734325367714.0,0.0,0.0,0.0,49.5,56.142857142857146
3734325367814.0,0.0,0.0,0.0,55.5,51.142857142857146
3734325367914.0,0.0,0.0,0.0,58.0,53.142857142857146
3734325368014.0,0.0,0.0,0.0,48.0,50.57142857142857
3734325368114.0,0.0,0.0,0.0,53.0,51.142857142857146
3734325368214.0,0.0,0.0,0.0,54.0,51.42857142857143
3734325368314.0,0.0,0.0,0.0,48.5,51.42857142857143
3734325368414.0,0.0,0.0,0.0,48.0,50.714285714285715
3734325368514.0,0.0,0.0,0.0,50.5,49.714285714285715
3734325368614.0,0.0,0.0,0.0,52.0,49.0
3734325368714.0,0.0,0.0,0.0,45.5,51.857142857142854
3734325368814.0,0.0,0.0,0.0,55.5,50.142857142857146
3734325368914.0,0.0,0.0,0.0,48.0,49.42857142857143
3734325369014.0,0.0,0.0,0.0,47.0,51.142857142857146
3734325369114.0,0.0,0.0,0.0,55.0,53.57142857142857
3734325369214.0,0.0,0.0,0.0,55.0,51.57142857142857
3734325369314.0,0.0,0.0,0.0,43.0,50.857142857142854
3734325369414.0,0.0,0.0,0.0,51.0,50.285714285714285
3734325369514.0,0.0,0.0,0.0,57.5,55.285714285714285
3734325369614.0,0.0,0.0,0.0,50.0,55.714285714285715
3734325369714.0,0.0,0.0,0.0,53.0,54.0
3734325369814.0,0.0,0.0,0.0,57.0,51.57142857142857
3734325369914.0,0.0,0.0,0.0,57.5,52.285714285714285
3734325370014.0,0.0,0.0,0.0,51.5,51.857142857142854
3734325370114.0,0.0,0.0,0.0,49.0,52.42857142857143
3734325370214.0,0.0,0.0,0.0,53.0,56.142857142857146
3734325370314.0,0.0,0.0,0.0,50.5,52.42857142857143
3734325370414.0,0.0,0.0,0.0,51.0,53.57142857142857
3734325370514.0,0.0,0.0,0.0,48.5,53.57142857142857
3734325370614.0,0.0,0.0,0.0,48.5,55.57142857142857
3734325370714.0,0.0,0.0,0.0,59.0,54.142857142857146
3734325370814.0,0.0,0.0,0.0,52.5,58.714285714285715
3734325370914.0,0.0,0.0,0.0,50.5,56.0
3734325371014.0,0.0,0.0,0.0,60.0,53.142857142857146
3734325371114.0,0.0,0.0,0.0,53.0,51.857142857142854
3734325371214.0,0.0,0.0,0.0,48.5,54.285714285714285
3734325371314.0,0.0,0.0,0.0,56.0,54.285714285714285
3734325371414.0,0.0,0.0,0.0,55.0,53.714285714285715
3734325371514.0,0.0,0.0,0.0,48.5,52.57142857142857
3734325371614.0,0.0,0.0,0.0,52.5,53.714285714285715
3734325371714.0,0.0,0.0,0.0,57.0,54.0
3734325371814.0,0.0,0.0,0.0,55.5,51.57142857142857
3734325371914.0,0.0,0.0,0.0,54.5,53.714285714285715
3734325372014.0,0.0,0.0,0.0,56.5,51.57142857142857
3734325372114.0,0.0,0.0,0.0,49.5,47.714285714285715
3734325372214.0,0.0,0.0,0.0,54.0,50.714285714285715
3734325372314.0,0.0,0.0,0.0,53.0,52.57142857142857
3734325372414.0,0.0,0.0,0.0,49.5,53.0
3734325372514.0,0.0,0.0,0.0,54.0,51.285714285714285
3734325372614.0,0.0,0.0,0.0,53.5,51.714285714285715
3734325372714.0,0.0,0.0,0.0,47.5,52.42857142857143
3734325372814.0,0.0,0.0,0.0,55.0,53.142857142857146
3734325372914.0,0.0,0.0,0.0,53.5,53.857142857142854
3734325373014.0,0.0,0.0,0.0,51.5,51.142857142857146
3734325373114.0,0.0,0.0,0.0,55.0,52.142857142857146
3734325373214.0,0.0,0.0,0.0,47.5,50.714285714285715
3734325373314.0,0.0,0.0,0.0,59.0,53.57142857142857
3734325373414.0,0.0,0.0,0.0,58.0,51.857142857142854
3734325373514.0,0.0,0.0,0.0,53.0,54.42857142857143
3734325373614.0,0.0,0.0,0.0,53.0,53.714285714285715
3734325373714.0,0.0,0.0,0.0,52.0,50.42857142857143
3734325373814.0,0.0,0.0,0.0,48.0,47.285714285714285
3734325373914.0,0.0,0.0,0.0,49.0,52.857142857142854
3734325374014.0,0.0,0.0,0.0,53.0,51.285714285714285
3734325374114.0,0.0,0.0,0.0,50.0,49.714285714285715
3734325374214.0,0.0,0.0,0.0,49.0,52.42857142857143
3734325374314.0,0.0,0.0,0.0,58.5,50.42857142857143
3734325374414.0,0.0,0.0,0.0,48.0,46.0
3734325374514.0,0.0,0.0,0.0,47.0,51.57142857142857
3734325374614.0,0.0,0.0,0.0,51.5,51.714285714285715
3734325374714.0,0.0,0.0,0.0,52.5,54.0
3734325374814.0,0.0,0.0,0.0,49.5,55.285714285714285
3734325374914.0,0.0,0.0,0.0,56.5,49.285714285714285
3734325375014.0,0.0,0.0,0.0,50.5,48.57142857142857
3734325375114.0,0.0,0.0,0.0,51.5,53.42857142857143
3734325375214.0,0.0,0.0,0.0,48.5,47.857142857142854
3734325375314.0,0.0,0.0,0.0,47.0,50.285714285714285
3734325375414.0,0.0,0.0,0.0,59.5,51.285714285714285
3734325375514.0,0.0,0.0,0.0,57.5,52.57142857142857
3734325375614.0,0.0,0.0,0.0,58.5,52.57142857142857
3734325375714.0,0.0,0.0,0.0,52.0,53.142857142857146
3734325375814.0,0.0,0.0,0.0,56.0,48.42857142857143
3734325375914.0,0.0,0.0,0.0,49.5,54.0
3734325376014.0,0.0,0.0,0.0,55.0,50.57142857142857
3734325376114.0,0.0,0.0,0.0,52.5,54.857142857142854
3734325376214.0,0.0,0.0,0.0,48.0,50.0
3734325376314.0,0.0,0.0,0.0,51.5,51.285714285714285
3734325376414.0,0.0,0.0,0.0,53.5,47.857142857142854
3734325376514.0,0.0,0.0,0.0,48.5,48.714285714285715
3734325376614.0,0.0,0.0,0.0,46.5,48.857142857142854
3734325376714.0,0.0,0.0,0.0,56.5,53.142857142857146
3734325376814.0,0.0,0.0,0.0,48.5,50.857142857142854
3734325376914.0,0.0,0.0,0.0,52.5,53.0
3734325377014.0,0.0,0.0,0.0,60.5,51.857142857142854
3734325377114.0,0.0,0.0,0.0,49.0,53.0
3734325377214.0,0.0,0.0,0.0,50.5,53.57142857142857
3734325377314.0,0.0,0.0,0.0,50.0,52.0
3734325377414.0,0.0,0.0,0.0,55.5,53.285714285714285
3734325377514.0,0.0,0.0,0.0,55.0,53.857142857142854
3734325377614.0,0.0,0.0,0.0,57.0,52.714285714285715
3734325377714.0,0.0,0.0,0.0,50.0,52.42857142857143
3734325377814.0,0.0,0.0,0.0,50.5,49.142857142857146
3734325377914.0,0.0,0.0,0.0,51.0,46.857142857142854
3734325378014.0,0.0,0.0,0.0,52.5,48.285714285714285
3734325378114.0,0.0,0.0,0.0,44.0,48.42857142857143
3734325378214.0,0.0,0.0,0.0,45.5,47.285714285714285
3734325378314.0,0.0,0.0,0.0,51.0,48.714285714285715
3734325378414.0,0.0,0.0,0.0,54.5,52.0
3734325378514.0,0.0,0.0,0.0,50.5,50.0
3734325378614.0,0.0,0.0,0.0,50.5,52.57142857142857
3734325378714.0,0.0,0.0,0.0,46.0,47.0
3734325378814.0,0.0,0.0,0.0,49.5,50.857142857142854
3734325378914.0,0.0,0.0,0.0,56.0,54.142857142857146
3734325379014.0,0.0,0.0,0.0,51.0,53.285714285714285
3734325379114.0,0.0,0.0,0.0,50.0,52.857142857142854
3734325379214.0,0.0,0.0,0.0,60.0,50.0
3734325379314.0,0.0,0.0,0.0,46.5,53.57142857142857
3734325379414.0,0.0,0.0,0.0,52.5,49.57142857142857
3734325379514.0,0.0,0.0,0.0,50.5,50.857142857142854
3734325379614.0,0.0,0.0,0.0,46.0,48.714285714285715
3734325379714.0,0.0,0.0,0.0,52.5,52.57142857142857
3734325379814.0,0.0,0.0,0.0,49.0,49.0
3734325379914.0,0.0,0.0,0.0,46.0,51.0
3734325380014.0,0.0,0.0,0.0,54.5,52.57142857142857
3734325380114.0,0.0,0.0,0.0,55.5,50.42857142857143
3734325380214.0,0.0,0.0,0.0,48.5,52.285714285714285
3734325380314.0,0.0,0.0,0.0,51.5,55.857142857142854
3734325380414.0,0.0,0.0,0.0,50.5,52.42857142857143
3734325380514.0,0.0,0.0,0.0,55.0,51.857142857142854
3734325380614.0,0.0,0.0,0.0,52.5,50.714285714285715
3734325380714.0,0.0,0.0,0.0,50.5,52.42857142857143
3734325380814.0,0.0,0.0,0.0,53.0,51.42857142857143
3734325380914.0,0.0,0.0,0.0,48.0,50.0
3734325381014.0,0.0,0.0,0.0,55.0,52.142857142857146
3734325381114.0,0.0,0.0,0.0,52.0,54.42857142857143
3734325381214.0,0.0,0.0,0.0,58.0,50.142857142857146
3734325381314.0,0.0,0.0,0.0,48.0,49.857142857142854
3734325381414.0,0.0,0.0,0.0,48.5,52.714285714285715
3734325381514.0,0.0,0.0,0.0,51.0,54.142857142857146
3734325381614.0,0.0,0.0,0.0,51.0,53.0
3734325381714.0,0.0,0.0,0.0,55.0,53.57142857142857
3734325381814.0,0.0,0.0,0.0,57.0,54.142857142857146
3734325381914.0,0.0,0.0,0.0,55.5,54.714285714285715
3734325382014.0,0.0,0.0,0.0,54.5,52.857142857142854
3734325382114.0,0.0,0.0,0.0,54.5,55.857142857142854
3734325382214.0,0.0,0.0,0.0,54.5,54.142857142857146
3734325382314.0,0.0,0.0,0.0,52.0,52.42857142857143
3734325382414.0,0.0,0.0,0.0,53.5,56.0
3734325382514.0,0.0,0.0,0.0,52.0,54.857142857142854
3734325382614.0,0.0,0.0,0.0,49.5,54.857142857142854
