time_ms,SO2_pptv,off_cts_norm,on_cts_norm,off_lsr_pwr_V,on_lsr_pwr_V
3734428738924.0,5098766.428870154,9574.96524872221,66227.9255695017,77145.0,90042.42857142857
3734428739024.0,5122201.441881136,8992.351813227286,65905.70116746213,76136.5,89022.85714285714
3734428739124.0,5162320.628293604,9216.33315014864,66575.4512422998,76272.5,89208.14285714286
3734428739224.0,5126779.351133073,8979.22838253549,65943.44339512518,77715.5,89460.71428571429
3734428739324.0,5238473.9422608465,9294.22245164666,67499.48847676718,76350.5,89727.42857142857
3734428739424.0,5210485.104692493,8674.491635394013,66568.77057642171,76806.0,89989.0
3734428739524.0,5272361.819456217,8821.508482385147,67403.30647634312,76586.5,89255.71428571429
3734428739624.0,5211716.779944121,9354.753207890915,67262.71742949226,75919.0,88848.14285714286
3734428739724.0,5316497.650863591,8079.987883228267,67152.18400393483,77354.0,89318.57142857143
3734428739824.0,5178892.307875068,8700.936112554216,66244.18397783276,78432.0,90248.71428571429
3734428739924.0,5120290.380953775,8981.20080854784,65873.31615247867,77041.5,90239.42857142857
3734428740024.0,5061822.194554829,9377.565434338503,65620.0342627255,77320.5,89760.14285714286
3734428740124.0,5081208.882341239,9832.625785326483,66290.5022557847,76548.5,89635.71428571429
3734428740224.0,5250018.31044811,9001.376106278505,67334.91288903529,75191.5,89709.0
3734428740324.0,5182625.093657975,8423.981041182564,66008.70430404895,77021.5,90220.14285714286
3734428740424.0,5232162.704709852,7948.860201423284,66084.00136486608,77242.0,90128.14285714286
3734428740524.0,5167271.879266153,8433.916322395238,65848.04831424139,77597.5,90333.42857142857
3734428740624.0,5289544.51757481,8279.74561172038,67052.46247366273,76144.0,89406.42857142857
3734428740724.0,5239576.0613653585,9274.931854140792,67492.44364708923,77950.0,89531.42857142857
3734428740824.0,5203007.602860594,9243.147752184306,67054.34333952425,78389.5,89829.85714285714
3734428740924.0,5203959.653519709,9023.6644095407,66845.43833753746,78353.5,90311.85714285714
3734428741024.0,5210170.0968897315,8694.006171484894,66584.78502581525,76778.5,90084.28571428571
3734428741124.0,5162748.157196604,8386.627808772038,65750.49622206764,76768.0,89780.85714285714
3734428741224.0,5184842.980078009,8885.208186342565,66494.57463165377,77807.0,89267.71428571429
3734428741324.0,5350913.873566841,8735.180498087757,68189.77909327488,77574.5,89883.71428571429
3734428741424.0,5158944.59282231,8441.741832918338,65763.3484198329,76010.0,90210.57142857143
3734428741524.0,5171274.185992984,9539.97206353387,66998.5741301226,79298.0,90541.71428571429
3734428741624.0,5293824.652472619,8586.601772606415,67406.87568896885,76889.5,89912.85714285714
3734428741724.0,5191598.512759119,9380.34604113643,67064.7739606822,77123.0,89280.71428571429
3734428741824.0,5236345.107120918,8808.131013183576,66989.74331452712,76070.5,89408.42857142857
3734428741924.0,5232131.597588846,8716.107284522619,66850.90281328758,77081.0,90271.42857142857
3734428742024.0,5328972.783572907,8690.7012100125,67901.50991637813,79490.5,90079.71428571429
3734428742124.0,5140593.895783026,8656.93266964979,65774.64262279452,78012.0,89703.42857142857
3734428742224.0,5030177.03830764,9461.87402379488,65352.73000499088,76057.5,89462.28571428571
3734428742324.0,5007426.766560011,9938.553512973771,65576.62869697389,74911.5,89434.85714285714
3734428742424.0,5116469.745597851,9061.256515404115,65910.92035538025,77447.5,89629.14285714286
3734428742524.0,5122421.485769381,8477.339073351395,65393.13335967786,78397.5,90003.42857142857
